fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,analysis_id,measured_by,measured_by_other,date_started,analysis_remarks,ndf_correction_factors,adf_correction_factors,adl_correction_factors,ashing_correction_factors,sample_photos,sample_photos_caption,sample_photos_url,lab_notebook_photos,lab_notebook_photos_caption,lab_notebook_photos_url,analysis_audio_remarks,analysis_audio_remarks_caption,analysis_audio_remarks_url,quality_flag_analysis,quality_comments_analysis
17ec9326-ae02-4b95-984c-d3399dd3711a,2018-12-21 11:06:38 EST,2018-12-21 11:06:38 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:38 EST,2018-12-21 11:06:38 EST,1,,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-09,Batch number 1,,,,,,,,,,,,,,,
447c47ab-8d0f-4d59-a580-80491e96164c,2018-12-21 11:06:38 EST,2018-12-21 11:06:38 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:38 EST,2018-12-21 11:06:38 EST,1,,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-12,Batch number 2,,,,,,,,,,,,,,,
19230fe0-b977-4768-b547-0e99eeb24a53,2018-12-21 11:06:39 EST,2018-12-21 11:06:39 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:39 EST,2018-12-21 11:06:39 EST,1,,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-21,Batch number 3,,,,,,,,,,,,,,,
d1fe9ddb-ecd9-45b3-856d-656c29996714,2018-12-21 11:06:39 EST,2018-12-21 11:06:39 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:39 EST,2018-12-21 11:06:39 EST,1,,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-22,Batch number 4,,,,,,,,,,,,,,,
41846e26-d29c-4814-aafb-0bfd9f108c14,2018-12-21 11:06:40 EST,2018-12-21 11:08:49 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:40 EST,2018-12-21 11:08:52 EST,2,,2018-Girard-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-23,Batch number 5. Batch split with Beauchamp-Rioux batch 1.,,,,,,,,,,,,,,good,
7a94bcfc-5e59-4533-bd66-7440bdd4db0a,2018-12-21 11:06:40 EST,2018-12-21 11:09:14 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:40 EST,2018-12-21 11:09:16 EST,2,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-23,Batch number 1. Batch split with Girard batch 5.,,,,,,,,,,,,,,good,
6d617a4d-6021-48ed-98cf-099583c948be,2018-12-21 11:06:40 EST,2018-12-21 11:06:40 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:40 EST,2018-12-21 11:06:40 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-27,Batch number 2,,,,,,,,,,,,,,,
16a4c3de-1946-443e-a41d-ee7df44e0432,2018-12-21 11:06:41 EST,2018-12-21 11:06:41 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:41 EST,2018-12-21 11:06:41 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-28,Batch number 3,,,,,,,,,,,,,,,
38277f50-85da-438b-b9e0-41d69fc70209,2018-12-21 11:06:41 EST,2018-12-21 11:06:41 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:41 EST,2018-12-21 11:06:41 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-11-30,Batch number 4,,,,,,,,,,,,,,,
670cd215-e671-408a-86c7-9be68d3b7171,2018-12-21 11:06:42 EST,2018-12-21 11:06:42 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:42 EST,2018-12-21 11:06:42 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-05,Batch number 5,,,,,,,,,,,,,,,
24f9db29-4420-45a1-80b1-fed9e0328ce2,2018-12-21 11:06:42 EST,2018-12-21 11:06:42 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:42 EST,2018-12-21 11:06:42 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-07,Batch number 6,,,,,,,,,,,,,,,
b717962f-a9bf-46bc-bd74-c48fed3de439,2018-12-21 11:06:42 EST,2018-12-21 11:07:47 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:42 EST,2018-12-21 11:07:49 EST,2,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-10,Batch number 7,,,,,,,,,,,,,,good,
54f1c593-899d-4d23-b8bb-235022cc0634,2018-12-21 11:06:43 EST,2018-12-21 11:06:43 EST,etienne.laliberte@umontreal.ca,etienne.laliberte@umontreal.ca,2018-12-21 11:06:43 EST,2018-12-21 11:06:43 EST,1,,2018-BeauchampRioux-MSc-UdeM,,,,,,Fabien Cichonski,,2018-12-12,Batch number 8,,,,,,,,,,,,,,,
